,Sa,Sq,Ssk,Sku,iqr,fractal_D_mean,fractal_D_std,glcm_contrast_d1_mean,glcm_homogeneity_d1_mean,glcm_energy_d1_mean,glcm_correlation_d1_mean,glcm_dissimilarity_d1_mean
ZdraviLudia,0.3294,0.2931,-0.9596,-0.5011,0.4826,-0.4328,0.3053,-0.3779,-0.1247,-0.6166,0.4392,-0.2033
Diabetes,-0.0282,0.0080,-0.7567,-0.3675,0.3418,-0.6381,0.5233,-0.5404,0.1761,-0.4562,0.5381,-0.4652
PGOV_Glaukom,0.1807,0.1724,0.6685,0.0531,-0.0522,-0.3300,0.4712,-0.2893,0.7439,0.7263,0.3383,-0.4879
SklerozaMultiplex,-0.2849,-0.2553,0.6180,0.4334,-0.3747,0.5161,-0.4125,0.4425,-0.1222,0.3192,-0.5283,0.3375
SucheOko,-0.1277,-0.1912,0.2366,0.0844,-0.3467,0.6499,-0.8735,0.5954,-0.7747,-0.1360,-0.4420,0.8115
