class,file,bytes,status,H,W,dtype,z_min_nm,z_max_nm,z_mean_nm,z_std_nm,pixel_to_nm,scan_um,channel
ZdraviLudia,5L.001,8429568,ok,1024,1024,float64,-741.427,145.696,-375.820,110.889,90.348,92.52,Height
ZdraviLudia,9L.000,8429568,ok,1024,1024,float64,-168.850,645.331,118.798,105.694,90.348,92.52,Height
ZdraviLudia,1L_M.002,8429568,ok,1024,1024,float64,-780.393,926.654,-2.502,295.963,90.348,92.52,Height
ZdraviLudia,48.007,2138112,ok,512,512,float64,-1052.789,438.686,-404.051,241.491,180.697,92.52,Height
ZdraviLudia,49.007,33595392,ok,2048,2048,float64,-1033.724,2297.455,182.436,459.786,45.174,92.52,Height
ZdraviLudia,2P.002,2138112,ok,512,512,float64,-1118.151,770.816,-297.922,343.590,180.697,92.52,Height
ZdraviLudia,49.000,2138112,ok,512,512,float64,-894.170,10.484,-514.434,117.889,97.656,50.00,Height
ZdraviLudia,6P.000,8429568,ok,1024,1024,float64,-952.662,-4.449,-582.513,169.326,90.348,92.52,Height
ZdraviLudia,8L.000,8429568,ok,1024,1024,float64,25.425,1376.854,607.069,216.414,90.348,92.52,Height
ZdraviLudia,48.001,2138112,ok,512,512,float64,-2220.164,1768.890,-478.912,743.202,180.697,92.52,Height
ZdraviLudia,48.008,52469760,ok,2560,2560,float64,-959.285,810.373,-249.797,268.212,36.139,92.52,Height
ZdraviLudia,49.008,8429568,ok,1024,1024,float64,-1623.329,1652.824,-344.219,586.193,90.348,92.52,Height
ZdraviLudia,6P.001,8429568,ok,1024,1024,float64,-659.576,517.148,-251.818,127.276,90.348,92.52,Height
ZdraviLudia,49.001,8429568,ok,1024,1024,float64,-888.658,409.209,-303.048,171.292,90.348,92.52,Height
ZdraviLudia,8L.001,8429568,ok,1024,1024,float64,-938.465,-175.002,-552.204,111.060,90.348,92.52,Height
ZdraviLudia,2P.004,8429568,ok,1024,1024,float64,-510.744,595.436,-237.258,121.421,90.348,92.52,Height
ZdraviLudia,2P.003,8429568,ok,1024,1024,float64,-1577.786,431.033,-980.396,296.959,90.348,92.52,Height
