class,file,bytes,status,H,W,dtype,z_min_nm,z_max_nm,z_mean_nm,z_std_nm,pixel_to_nm,scan_um,channel
PGOV_Glaukom,25_PV_PGOV.014,2138112,ok,512,512,float64,-441.549,509.824,-28.855,166.437,180.697,92.52,Height
PGOV_Glaukom,23_LV_PGOV.003,2138112,ok,512,512,float64,237.495,2088.405,1077.362,281.627,180.697,92.52,Height
PGOV_Glaukom,21_LV_PGOV+SII.007,2138112,ok,512,512,float64,15.696,1650.975,640.183,267.016,180.697,92.52,Height
PGOV_Glaukom,26_PV_PGOV.007,7249920,ok,880,1024,float64,-1334.355,458.492,-740.252,346.045,90.348,79.51,Height
PGOV_Glaukom,26_PV_PGOV.000,2138112,ok,512,512,float64,-258.282,916.595,372.837,200.703,180.697,92.52,Height
PGOV_Glaukom,21_LV_PGOV+SII.000,8429568,ok,1024,1024,float64,-36.287,1375.727,515.711,204.696,90.348,92.52,Height
PGOV_Glaukom,21_LV_PGOV+SII.001,8429568,ok,1024,1024,float64,-368.906,920.457,151.619,214.251,90.348,92.52,Height
PGOV_Glaukom,26_PV_PGOV.001,2138112,ok,512,512,float64,-327.518,1020.132,99.936,177.449,180.697,92.52,Height
PGOV_Glaukom,21_LV_PGOV+SII.006,8429568,ok,1024,1024,float64,-331.159,1451.714,236.090,249.068,90.348,92.52,Height
PGOV_Glaukom,25_PV_PGOV.015,2138112,ok,512,512,float64,-892.515,799.773,-103.664,275.137,180.697,92.52,Height
PGOV_Glaukom,23_LV_PGOV.002,2138112,ok,512,512,float64,-488.750,2831.396,172.743,380.211,180.697,92.52,Height
PGOV_Glaukom,25_PV_PGOV.012,8429568,ok,1024,1024,float64,-916.705,133.339,-470.836,188.485,90.348,92.52,Height
PGOV_Glaukom,26_PV_PGOV.008,1843200,ok,440,512,float64,-911.106,1415.128,-89.887,480.662,180.697,79.51,Height
PGOV_Glaukom,21_LV_PGOV+SII.008,69378048,ok,2944,2944,float64,-192.150,1374.201,427.095,261.976,31.426,92.52,Height
PGOV_Glaukom,27PV_PGOV_PEX.003,8429568,ok,1024,1024,float64,-987.644,752.723,-530.481,223.650,90.348,92.52,Height
PGOV_Glaukom,27PV_PGOV_PEX.004,102801408,ok,3584,3584,float64,-219.035,814.470,257.604,179.309,25.814,92.52,Height
PGOV_Glaukom,25_PV_PGOV.017,3579904,ok,432,1024,float64,-268.150,1439.113,324.255,252.016,90.348,39.03,Height
PGOV_Glaukom,23_LV_PGOV.000,2138112,ok,512,512,float64,-607.266,678.836,-257.079,139.885,97.656,50.00,Height
PGOV_Glaukom,21_LV_PGOV+SII.003,167237632,ok,3474,6016,float64,-592.000,1230.360,25.763,318.478,15.378,53.42,Height
PGOV_Glaukom,26_PV_PGOV.003,136949760,ok,3820,4480,float64,-754.366,507.373,-303.015,196.084,20.651,78.89,Height
PGOV_Glaukom,25_PV_PGOV.019,3579904,ok,432,1024,float64,-389.892,1056.646,228.678,212.206,90.348,39.03,Height
PGOV_Glaukom,21_LV_PGOV+SII.004,4890624,ok,592,1024,float64,-519.272,1014.141,10.525,237.792,90.348,53.49,Height
PGOV_Glaukom,21_LV_PGOV+SII.005,8429568,ok,1024,1024,float64,-368.088,965.274,164.937,228.936,90.348,92.52,Height
PGOV_Glaukom,26_PV_PGOV.002,8429568,ok,1024,1024,float64,140.969,1973.280,740.415,349.068,90.348,92.52,Height
PGOV_Glaukom,21_LV_PGOV+SII.002,8429568,ok,1024,1024,float64,-490.263,1931.241,214.744,422.738,90.348,92.52,Height
PGOV_Glaukom,25_PV_PGOV.018,3579904,ok,432,1024,float64,-716.524,449.304,-223.821,212.697,90.348,39.03,Height
PGOV_Glaukom,25_PV_PGOV.016,209678336,ok,3302,7936,float64,-264.790,1970.780,367.698,282.390,11.658,38.49,Height
PGOV_Glaukom,23_LV_PGOV.001,8429568,ok,1024,1024,float64,-831.740,1317.835,-126.507,349.650,90.348,92.52,Height
PGOV_Glaukom,21_LV_PGOV+SII.011,1220608,ok,384,384,float64,-190.162,1223.879,373.912,250.556,240.929,92.52,Height
PGOV_Glaukom,21_LV_PGOV+SII.010,2138112,ok,512,512,float64,3.766,760.825,303.176,126.100,97.656,50.00,Height
